head_label,position,token,mean_difference_norm,max_difference_norm
L9H2,6, talented,0.13872985541820526,0.13872985541820526
L9H2,6, clever,0.1141488254070282,0.1141488254070282
L9H2,6, wonderful,0.11055326461791992,0.11055326461791992
L9H2,6, memorable,0.10555399954319,0.10555399954319
L9H2,6, brilliant,0.1032768040895462,0.1032768040895462
L10H4,6, perfect,0.09743551164865494,0.09743551164865494
L9H2,8,"
",0.09658410751985179,0.6471366882324219
L9H2,6, polished,0.09270583093166351,0.09270583093166351
L9H2,6, engaging,0.08854371309280396,0.08854371309280396
L9H2,6, beautiful,0.08619032800197601,0.08619032800197601
L9H2,9,"
",0.07797516509890556,0.1006574034690857
L9H2,6, excellent,0.07765339314937592,0.07765339314937592
L9H2,6, amazing,0.06979914009571075,0.06979914009571075
L10H4,6, amazing,0.06963309645652771,0.06963309645652771
L9H2,6, satisfying,0.0678236186504364,0.0678236186504364
L9H2,6, outstanding,0.06601212918758392,0.06601212918758392
L10H4,10,Sent,0.047958288341760635,0.050725456327199936
L9H2,6, fascinating,0.04795651137828827,0.04795651137828827
L9H2,6, enjoyable,0.04754491150379181,0.04754491150379181
L9H2,6, entertaining,0.04295442998409271,0.04295442998409271
L9H2,6, impressive,0.035953398793935776,0.035953398793935776
L10H4,4, experience,5.472770112646685e-07,5.472770112646685e-07
L8H9,4, acting,4.883632414021122e-07,9.767264828042244e-07
L8H9,4, experience,3.3417614986319677e-07,3.3417614986319677e-07
L10H4,4, acting,2.931421363427944e-07,5.862842726855888e-07
L9H2,5, was,2.4849630201916784e-07,3.2049472338258056e-06
L9H2,4, experience,2.44259666715152e-07,2.44259666715152e-07
L10H4,5, was,1.939021304304547e-07,1.6839816225910909e-06
L8H9,5, was,1.6278481579694712e-07,2.040854724327801e-06
L9H2,4, acting,7.457537520849655e-08,1.491507504169931e-07
L10H4,3, The,3.585235219816241e-08,3.5852352198162407e-07
L8H9,3, The,1.3410337373898073e-08,1.3410337373898074e-07
L9H2,3, The,4.763347405400964e-09,4.763347405400964e-08
L10H4,4, cinem,0.0,0.0
L10H4,0,<|endoftext|>,0.0,0.0
L10H4,5,atography,0.0,0.0
L10H4,4, plot,0.0,0.0
L10H4,4, ending,0.0,0.0
L10H4,4, director,0.0,0.0
L10H4,4, final,0.0,0.0
L10H4,4, movie,0.0,0.0
L10H4,4, pacing,0.0,0.0
L10H4,4, film,0.0,0.0
L10H4,4, performance,0.0,0.0
L10H4,4, story,0.0,0.0
L10H4,4, screenplay,0.0,0.0
L10H4,4, production,0.0,0.0
L10H4,4, soundtrack,0.0,0.0
L10H4,5, were,0.0,0.0
L10H4,5, scene,0.0,0.0
L10H4,4, dialogue,0.0,0.0
L10H4,2,:,0.0,0.0
L10H4,4, characters,0.0,0.0
L10H4,1,Review,0.0,0.0
L10H4,6, was,0.0,0.0
L8H9,2,:,0.0,0.0
L8H9,0,<|endoftext|>,0.0,0.0
L8H9,4, cinem,0.0,0.0
L8H9,1,Review,0.0,0.0
L8H9,4, dialogue,0.0,0.0
L8H9,4, characters,0.0,0.0
L8H9,4, ending,0.0,0.0
L8H9,4, film,0.0,0.0
L8H9,4, final,0.0,0.0
L8H9,4, movie,0.0,0.0
L8H9,4, pacing,0.0,0.0
L8H9,4, performance,0.0,0.0
