pair_id,domain,layer,head,head_label,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
65,product,0,10,L0H10,1.6421585083007812,1.0647048950195312,1.0614166259765625,0.57745361328125,-0.005694429764295529
65,product,0,11,L0H11,1.6421585083007812,1.0647048950195312,1.0690994262695312,0.57745361328125,0.007610189197759222
65,product,1,0,L1H0,1.6421585083007812,1.0647048950195312,1.06610107421875,0.57745361328125,0.0024178205263714193
65,product,1,1,L1H1,1.6421585083007812,1.0647048950195312,1.0669937133789062,0.57745361328125,0.003963640207166262
65,product,1,2,L1H2,1.6421585083007812,1.0647048950195312,1.061309814453125,0.57745361328125,-0.005879399640629955
65,product,1,3,L1H3,1.6421585083007812,1.0647048950195312,1.06317138671875,0.57745361328125,-0.0026556389388013952
65,product,1,4,L1H4,1.6421585083007812,1.0647048950195312,1.0732040405273438,0.57745361328125,0.014718317302610718
65,product,1,5,L1H5,1.6421585083007812,1.0647048950195312,1.0666351318359375,0.57745361328125,0.0033426699080435474
65,product,1,6,L1H6,1.6421585083007812,1.0647048950195312,1.065887451171875,0.57745361328125,0.0020478807737025683
65,product,1,7,L1H7,1.6421585083007812,1.0647048950195312,1.0663833618164062,0.57745361328125,0.0029066694852552585
65,product,1,8,L1H8,1.6421585083007812,1.0647048950195312,1.0657424926757812,0.57745361328125,0.001796850227248705
65,product,1,9,L1H9,1.6421585083007812,1.0647048950195312,1.0648193359375,0.57745361328125,0.00019818201035831306
65,product,1,10,L1H10,1.6421585083007812,1.0647048950195312,1.0631332397460938,0.57745361328125,-0.0027216996089208328
65,product,1,11,L1H11,1.6421585083007812,1.0647048950195312,1.0676345825195312,0.57745361328125,0.005073459465172815
65,product,2,0,L2H0,1.6421585083007812,1.0647048950195312,1.0593185424804688,0.57745361328125,-0.009327766620864602
65,product,2,1,L2H1,1.6421585083007812,1.0647048950195312,1.08319091796875,0.57745361328125,0.032013000739879505
65,product,2,2,L2H2,1.6421585083007812,1.0647048950195312,1.0648422241210938,0.57745361328125,0.0002378184124299757
65,product,2,3,L2H3,1.6421585083007812,1.0647048950195312,1.0634002685546875,0.57745361328125,-0.002259274918084769
65,product,2,4,L2H4,1.6421585083007812,1.0647048950195312,1.06756591796875,0.57745361328125,0.004954550258957827
65,product,2,5,L2H5,1.6421585083007812,1.0647048950195312,1.0677871704101562,0.57745361328125,0.005337702145650565
65,product,2,6,L2H6,1.6421585083007812,1.0647048950195312,1.049407958984375,0.57745361328125,-0.026490328717894515
65,product,2,7,L2H7,1.6421585083007812,1.0647048950195312,1.0662841796875,0.57745361328125,0.0027349117429447205
65,product,2,8,L2H8,1.6421585083007812,1.0647048950195312,1.0522613525390625,0.57745361328125,-0.021548990592960574
65,product,2,9,L2H9,1.6421585083007812,1.0647048950195312,1.0712356567382812,0.57745361328125,0.011309586724447733
65,product,2,10,L2H10,1.6421585083007812,1.0647048950195312,1.0729827880859375,0.57745361328125,0.01433516541591798
65,product,2,11,L2H11,1.6421585083007812,1.0647048950195312,1.0595855712890625,0.57745361328125,-0.008865341930028537
65,product,3,0,L3H0,1.6421585083007812,1.0647048950195312,1.0656967163085938,0.57745361328125,0.00171757742310538
65,product,3,1,L3H1,1.6421585083007812,1.0647048950195312,1.0423812866210938,0.57745361328125,-0.03865870415389494
65,product,3,2,L3H2,1.6421585083007812,1.0647048950195312,1.0583572387695312,0.57745361328125,-0.010992495507874431
65,product,3,3,L3H3,1.6421585083007812,1.0647048950195312,1.0519561767578125,0.57745361328125,-0.022077475953916077
65,product,3,4,L3H4,1.6421585083007812,1.0647048950195312,1.0594024658203125,0.57745361328125,-0.009182433146601839
65,product,3,5,L3H5,1.6421585083007812,1.0647048950195312,1.0674285888671875,0.57745361328125,0.004716731846527851
65,product,3,6,L3H6,1.6421585083007812,1.0647048950195312,1.067962646484375,0.57745361328125,0.0056415812281999786
65,product,3,7,L3H7,1.6421585083007812,1.0647048950195312,1.0680084228515625,0.57745361328125,0.005720854032343304
65,product,3,8,L3H8,1.6421585083007812,1.0647048950195312,1.0606231689453125,0.57745361328125,-0.007068491702779833
65,product,3,9,L3H9,1.6421585083007812,1.0647048950195312,1.0721435546875,0.57745361328125,0.01288183067329035
65,product,3,10,L3H10,1.6421585083007812,1.0647048950195312,1.0619125366210938,0.57745361328125,-0.004835641052742839
65,product,3,11,L3H11,1.6421585083007812,1.0647048950195312,1.062713623046875,0.57745361328125,-0.0034483669802346474
65,product,4,0,L4H0,1.6421585083007812,1.0647048950195312,1.0678329467773438,0.57745361328125,0.005416974949793891
