rank,layer,head,head_label,mean_recovery,median_recovery,std_recovery,min_recovery,max_recovery,positive_recovery_fraction,strong_recovery_fraction,full_recovery_fraction,n_pairs
18,6,10,L6H10,0.024111529361302075,0.019873192788640352,0.023658688596701522,-0.016585756257832162,0.10671647639698006,0.9333333333333333,0.0,0.0,60
19,9,1,L9H1,0.022988847488293367,0.021197115689927215,0.013633914428942134,0.0034219427121868723,0.07762919310970082,1.0,0.0,0.0,60
20,10,5,L10H5,0.021181688455064247,0.02078698839273105,0.016268625350045977,-0.04805077062556664,0.059267119265676994,0.95,0.0,0.0,60
21,8,2,L8H2,0.019978896839282376,0.0164256393345436,0.02793817561316442,-0.026423697175556166,0.18364687216681777,0.8666666666666667,0.0,0.0,60
22,11,8,L11H8,0.017483351288181022,0.015460688856886801,0.01875433574967703,-0.0025474692354808173,0.14987533998186764,0.9833333333333333,0.0,0.0,60
23,11,3,L11H3,0.01638602040728383,0.015384629590205685,0.01544198707257591,-0.022841065513016384,0.07524932003626474,0.9,0.0,0.0,60
24,8,3,L8H3,0.013890614591338217,0.011672496915661721,0.011081396382802406,-0.0032485485208736523,0.06776971894832276,0.9666666666666667,0.0,0.0,60
25,11,10,L11H10,0.012179259510305428,0.01172070915676901,0.009963891664116216,-0.023427041499330656,0.05139392565729828,0.9666666666666667,0.0,0.0,60
26,11,7,L11H7,0.011510190973981345,0.011492903177075442,0.019456971811819105,-0.09434496826835902,0.05394709650754288,0.8333333333333334,0.0,0.0,60
27,10,6,L10H6,0.011453758432063756,0.009447937684696683,0.014897053958655477,-0.0439143245693563,0.04779989523310634,0.8166666666666667,0.0,0.0,60
28,3,5,L3H5,0.011170671732283323,0.0122312772229523,0.02332669993305547,-0.12199682683590209,0.09200097922213042,0.85,0.0,0.0,60
29,4,9,L4H9,0.01105022261878891,0.009195395531458907,0.013408786595420186,-0.006159315447893845,0.08522212148685404,0.9,0.0,0.0,60
30,2,1,L2H1,0.010296365673429321,0.012425720332248329,0.015257099000581933,-0.03118700917549546,0.05486036730322109,0.75,0.0,0.0,60
31,7,7,L7H7,0.009686192322805216,0.00582590936288265,0.014234098608989243,-0.0072153564567608046,0.07378719402283236,0.8666666666666667,0.0,0.0,60
32,4,1,L4H1,0.009305048186925484,0.007978656516584335,0.009838103507465754,-0.007850050093211419,0.053321705070534596,0.8833333333333333,0.0,0.0,60
33,10,11,L10H11,0.008474367081782739,0.007866722196973699,0.009934522591089252,-0.013541040669949817,0.040134814078125865,0.8333333333333334,0.0,0.0,60
34,6,1,L6H1,0.007946206722676383,0.005944784588174797,0.019790132526454535,-0.021452325563240643,0.1376359927470535,0.7833333333333333,0.0,0.0,60
35,6,2,L6H2,0.007044764372569271,0.005296966287464162,0.010914474240879888,-0.013516282973387073,0.06754306436990028,0.8166666666666667,0.0,0.0,60
36,4,11,L4H11,0.006724633538621502,0.00601978155128171,0.008354612640443097,-0.010262080939192262,0.036321396192203086,0.8166666666666667,0.0,0.0,60
37,4,6,L4H6,0.006149495694471234,0.008251361852863804,0.013171334645550016,-0.07088621940163191,0.025692938687008542,0.8166666666666667,0.0,0.0,60
38,8,0,L8H0,0.006116476220655679,0.005486116105518924,0.007873532075907255,-0.007211654808576545,0.037001359927470535,0.8166666666666667,0.0,0.0,60
39,5,9,L5H9,0.0059317401426306395,0.006267109353129635,0.005435631066806287,-0.013089005235602094,0.0160658246030383,0.8833333333333333,0.0,0.0,60
40,9,4,L9H4,0.005591511086694479,0.004873731575423682,0.00477314953520028,-0.005237594004032821,0.019759140405278718,0.9333333333333333,0.0,0.0,60
41,9,9,L9H9,0.005497422468680633,0.003178731894081923,0.0055504403578726024,-0.002595032366612485,0.027708522212148687,0.95,0.0,0.0,60
42,2,10,L2H10,0.005408446788636148,0.005778995033408283,0.006780877314444389,-0.018464120856063786,0.019854558853811058,0.8166666666666667,0.0,0.0,60
43,5,2,L5H2,0.00428766597958,0.004405884229321139,0.004008746323290551,-0.013259292837715321,0.013989289450264642,0.95,0.0,0.0,60
44,11,11,L11H11,0.004156211298100027,0.006346645925278824,0.013579391409353716,-0.08482547597461469,0.019542391798602787,0.8166666666666667,0.0,0.0,60
45,10,0,L10H0,0.003924884496322835,0.0015681826934272058,0.013632719898103374,-0.05910018132366274,0.03829409280857322,0.7,0.0,0.0,60
46,0,6,L0H6,0.003781282706233242,0.0036427233543810497,0.007128635765304545,-0.011320207053359779,0.041754643654946605,0.8,0.0,0.0,60
47,5,4,L5H4,0.0036023188243502254,0.001378357112092592,0.014477192947628326,-0.00891761975799768,0.10414777878513146,0.5833333333333334,0.0,0.0,60
48,4,2,L4H2,0.00285612261238999,0.002267718409943815,0.009845466620302945,-0.028636683063949404,0.04394257967901496,0.65,0.0,0.0,60
49,6,0,L6H0,0.0028114374390101546,0.0019585068006178464,0.006050784589762783,-0.008433414074290135,0.02151871532390404,0.6333333333333333,0.0,0.0,60
50,4,8,L4H8,0.0026673741838817923,0.003240994082959945,0.010528030965280082,-0.04578422484134179,0.02681934381097884,0.6333333333333333,0.0,0.0,60
51,1,4,L1H4,0.0026405752745199593,0.0018095461000335372,0.00590320033809379,-0.009523958219488204,0.033034904805077064,0.6833333333333333,0.0,0.0,60
52,11,6,L11H6,0.0024503874751352498,0.0017228707361432916,0.004240733269855686,-0.010906763499568954,0.016585320718928546,0.75,0.0,0.0,60
53,7,4,L7H4,0.0024113202593121596,0.002247009242448581,0.0021468630316338368,-0.0011906039875474535,0.011559383499546692,0.9,0.0,0.0,60
54,7,8,L7H8,0.0022875116722791866,0.006006939302508072,0.02810442219758927,-0.18058703535811424,0.03414058600190594,0.7166666666666667,0.0,0.0,60
55,1,7,L1H7,0.0022171494704738034,0.0020600014622194204,0.014000564523422271,-0.03624219544068535,0.04820466417143092,0.5666666666666667,0.0,0.0,60
56,9,6,L9H6,0.002163394103785061,0.001858523985628148,0.0033604773129292404,-0.004341315100818345,0.015375077495350279,0.7,0.0,0.0,60
57,0,11,L0H11,0.0020884332694718136,0.0015672269713811545,0.005171161867594309,-0.020222111718879495,0.020172257479601087,0.8,0.0,0.0,60
58,3,6,L3H6,0.0020472975634674056,0.0021370691824545707,0.0049306152950543145,-0.01060826417999829,0.01680341902020215,0.7166666666666667,0.0,0.0,60
59,1,6,L1H6,0.0016997525549503664,0.0018535589268106102,0.004292636761869613,-0.017735720761559385,0.013066495302793843,0.8166666666666667,0.0,0.0,60
60,1,5,L1H5,0.001638973291934664,0.001051251612600099,0.004477465659486369,-0.009168959963476341,0.025045330915684498,0.7833333333333333,0.0,0.0,60
61,5,11,L5H11,0.001625429757819474,-0.0006644181419702569,0.012915112681861643,-0.03199302304232075,0.0746260199456029,0.4666666666666667,0.0,0.0,60
62,7,11,L7H11,0.0016157139209079404,0.0013837635115570394,0.0034504590712252604,-0.005339820679947367,0.012182683590208522,0.7,0.0,0.0,60
63,11,1,L11H1,0.0013914161424959375,0.0013868319239674224,0.004847292758342367,-0.010614688090497508,0.019888939256572983,0.7,0.0,0.0,60
64,8,7,L8H7,0.0013300634928399115,0.0018031209355654416,0.007450051015274225,-0.036491387126019945,0.016185591979865417,0.65,0.0,0.0,60
65,9,11,L9H11,0.0012594917315731046,0.0011813225391978325,0.001692936271195756,-0.002663130559699431,0.010312783318223029,0.85,0.0,0.0,60
66,5,0,L5H0,0.0010729669388100267,0.0016884278679931948,0.006793827320614446,-0.03241160471441523,0.012544729157240982,0.7333333333333333,0.0,0.0,60
67,0,7,L0H7,0.0010287754441094957,0.0011132345276622247,0.0019157029492998757,-0.005068052979440425,0.007127186029700835,0.7666666666666667,0.0,0.0,60
68,5,3,L5H3,0.000885448539189694,0.0010106018802015354,0.009040698395363268,-0.020334159552005876,0.04272438803263826,0.55,0.0,0.0,60
69,3,11,L3H11,0.0007873302909592867,0.0008044546035022814,0.010916435849321376,-0.04380099728014506,0.03366075393819065,0.55,0.0,0.0,60
70,1,10,L1H10,0.0007815754617020844,0.00020960468377806375,0.003971153174115932,-0.008126904743299211,0.020455575702629195,0.5333333333333333,0.0,0.0,60
71,5,6,L5H6,0.0006592374277604279,3.7136746393992556e-05,0.006354864220575463,-0.006127486568897923,0.046917497733454216,0.55,0.0,0.0,60
72,1,0,L1H0,0.000551373853791512,0.00042885342432794147,0.004528145922444909,-0.010596101541251133,0.008736497444842253,0.5333333333333333,0.0,0.0,60
73,5,8,L5H8,0.0005470074101348606,0.0006487727961115859,0.003054133199605589,-0.017225747960108794,0.005073459465172815,0.7333333333333333,0.0,0.0,60
74,2,4,L2H4,0.0004309493068347308,0.0004356515656754839,0.005409739956986298,-0.026461922030825022,0.009180207472688882,0.5833333333333334,0.0,0.0,60
75,0,4,L0H4,0.0004225301649743929,0.0006860404059456399,0.0032010828800140105,-0.009455996031581993,0.011796566602405214,0.6166666666666667,0.0,0.0,60
76,6,9,L6H9,0.00042147328393662156,0.00021751065589475604,0.0019956149561670238,-0.003772063990740358,0.007082955575702629,0.5666666666666667,0.0,0.0,60
77,0,8,L0H8,0.00028056288816743217,0.00011349356814354209,0.000958668353694175,-0.0011667279621574323,0.006400376185375794,0.65,0.0,0.0,60
78,5,5,L5H5,0.00021322569261815306,0.00017443975676412508,0.0005903333245857674,-0.0023232094288304626,0.0023772825831395806,0.7,0.0,0.0,60
79,0,1,L0H1,0.00020056037606511323,0.0,0.003828894150862714,-0.021604535123697068,0.018020874285062077,0.36666666666666664,0.0,0.0,60
80,2,0,L2H0,0.00018590649015673283,0.0008001352044034432,0.008580126329357757,-0.03367024716878242,0.023957124703022265,0.5333333333333333,0.0,0.0,60
81,11,2,L11H2,8.683898116004316e-05,0.0004199772305190275,0.0021245464771620674,-0.007082955575702629,0.0031550363366414005,0.6,0.0,0.0,60
82,7,10,L7H10,8.31782084456962e-05,4.135964891423145e-05,0.0002244020115064429,-0.0010199456029011786,0.0007739938080495357,0.7833333333333333,0.0,0.0,60
83,6,8,L6H8,4.540488599533014e-05,-0.0003518941209072245,0.012738943417306303,-0.02310666422842812,0.0759859474161378,0.48333333333333334,0.0,0.0,60
84,2,3,L2H3,4.238324943600139e-05,0.0003512996395824929,0.0031784759833088593,-0.009047262231843033,0.013089301903898459,0.5833333333333334,0.0,0.0,60
85,0,5,L0H5,4.148840182390868e-05,2.5569005607693202e-05,0.0001286750655321476,-0.0002873638287311581,0.0007101822378349587,0.7166666666666667,0.0,0.0,60
86,3,0,L3H0,3.9980797398401744e-05,-4.2959836185837904e-05,0.001550580741870529,-0.0028548770816812052,0.004755684628359099,0.48333333333333334,0.0,0.0,60
87,7,9,L7H9,3.898596156005848e-05,0.0001046399869070274,0.004175598917959462,-0.012653385966522844,0.006891830636731144,0.5333333333333333,0.0,0.0,60
88,2,9,L2H9,2.2608333248008034e-05,-1.288470678112905e-05,0.007341359278235102,-0.026277694900270734,0.01705575702629193,0.5,0.0,0.0,60
89,3,7,L3H7,1.9168608772415982e-05,-0.001002125650674505,0.010443297708743235,-0.02687441295099177,0.03864460562103354,0.4666666666666667,0.0,0.0,60
90,7,2,L7H2,1.5211488487802528e-05,-1.175973348568633e-05,0.00012188766925696439,-0.0003519079531197405,0.00040492175866663183,0.45,0.0,0.0,60
91,1,9,L1H9,-3.1675551478869168e-06,0.0004065980115011362,0.0035402037481667725,-0.013825929283771533,0.008022520803901955,0.6166666666666667,0.0,0.0,60
92,8,1,L8H1,-2.3613508957986866e-05,-0.0002445279498511119,0.0011114277525627225,-0.0025398574007772577,0.0023638352738923184,0.45,0.0,0.0,60
93,5,1,L5H1,-6.200733015293207e-05,7.072352361466367e-05,0.0012281650017700804,-0.009066183136899365,0.001449841648500802,0.5666666666666667,0.0,0.0,60
94,1,3,L1H3,-0.00013893983204560386,0.00015454612023424303,0.0022670185679555723,-0.013163735051297984,0.0029819438160654794,0.5333333333333333,0.0,0.0,60
95,0,10,L0H10,-0.0001390635403811274,-4.086118800367191e-05,0.0048929538300147325,-0.02634859474161378,0.017712061443611378,0.48333333333333334,0.0,0.0,60
96,0,2,L0H2,-0.00018418005796013226,-0.00021286170429755575,0.003950493626550485,-0.013197056756645033,0.02192883046237534,0.45,0.0,0.0,60
97,10,10,L10H10,-0.0001894602498472302,-0.001126145394250887,0.007771850849040264,-0.006716263690845216,0.05139392565729828,0.2833333333333333,0.0,0.0,60
98,2,5,L2H5,-0.0002310108764581464,-0.0002797879335568678,0.004383091914772062,-0.01425437205940167,0.01971894832275612,0.48333333333333334,0.0,0.0,60
99,4,10,L4H10,-0.0002317356060306237,-0.00016871697177539585,0.003908941050813748,-0.026461922030825022,0.007636000545941713,0.45,0.0,0.0,60
100,3,4,L3H4,-0.00037300619915295525,-0.0011713384576599426,0.008341977742633674,-0.00981684238983509,0.055020398912058024,0.3333333333333333,0.0,0.0,60
101,3,9,L3H9,-0.0005832071361906789,-0.0007577363903895512,0.00949905155259773,-0.020333213073201416,0.03366489424157539,0.45,0.0,0.0,60
102,10,2,L10H2,-0.0005929048496120349,-0.0013642164957307261,0.007474663832451328,-0.02074118473812575,0.025895285584768814,0.31666666666666665,0.0,0.0,60
103,0,3,L0H3,-0.0006159223038979141,3.9534843349825675e-05,0.005667999287695281,-0.03837520449443902,0.0160793124167298,0.5333333333333333,0.0,0.0,60
104,4,5,L4H5,-0.0006159633775849099,-0.0001857378643095981,0.002921948634596215,-0.007868151793809092,0.005890955245295514,0.48333333333333334,0.0,0.0,60
105,2,2,L2H2,-0.0007077417778576325,-0.0002290801590943742,0.003220964500256956,-0.00980752164998929,0.006302867360785259,0.4166666666666667,0.0,0.0,60
106,2,7,L2H7,-0.0007620258457329967,0.0009310451593604523,0.006312249880936583,-0.036094741613780595,0.008954287506772749,0.55,0.0,0.0,60
