pair_id,layer,head,head_label,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
17,10,4,L10H4,1.2387847900390625,0.278106689453125,0.4651336669921875,0.9606781005859375,0.19468225353007512
18,10,4,L10H4,0.9242019653320312,-0.08154296875,0.087890625,1.0057449340820312,0.16846576901194765
19,10,4,L10H4,1.2661972045898438,0.3300018310546875,0.48394012451171875,0.9361953735351562,0.1644296669355956
20,10,4,L10H4,0.8046112060546875,-0.3928375244140625,-0.09508514404296875,1.19744873046875,0.24865563994087364
1,10,5,L10H5,1.0762939453125,-0.21822357177734375,-0.202423095703125,1.2945175170898438,0.012205687343450714
2,10,5,L10H5,1.0695114135742188,-0.5381088256835938,-0.5292205810546875,1.6076202392578125,0.0055288210560285505
3,10,5,L10H5,1.0176162719726562,-0.01616668701171875,-0.00930023193359375,1.033782958984375,0.006642066420664207
4,10,5,L10H5,1.1721267700195312,-0.171600341796875,-0.15827178955078125,1.3437271118164062,0.009919091554293826
5,10,5,L10H5,0.8647003173828125,0.14643096923828125,0.1558685302734375,0.7182693481445312,0.013139306389080674
6,10,5,L10H5,1.33782958984375,0.42436981201171875,0.44359588623046875,0.9134597778320312,0.021047532343876588
7,10,5,L10H5,0.7145462036132812,-0.17333984375,-0.1404876708984375,0.8878860473632812,0.03700043823092192
8,10,5,L10H5,0.9897918701171875,-0.269012451171875,-0.267333984375,1.2588043212890625,0.0013333818199449676
9,10,5,L10H5,0.9612808227539062,-0.08667755126953125,-0.0644989013671875,1.0479583740234375,0.021163674485650635
10,10,5,L10H5,1.1173248291015625,-0.10051727294921875,-0.0633392333984375,1.2178421020507812,0.030527799530148787
11,10,5,L10H5,1.19085693359375,0.0048065185546875,0.02915191650390625,1.1860504150390625,0.02052644444158551
12,10,5,L10H5,0.45844268798828125,-0.6960830688476562,-0.68353271484375,1.1545257568359375,0.010870570820612453
13,10,5,L10H5,0.9303741455078125,0.20587921142578125,0.2079010009765625,0.7244949340820312,0.002790619306873348
14,10,5,L10H5,0.9232177734375,0.32161712646484375,0.32727813720703125,0.6016006469726562,0.009409914651313203
15,10,5,L10H5,0.989288330078125,0.3269500732421875,0.33746337890625,0.6623382568359375,0.015873015873015872
16,10,5,L10H5,0.924041748046875,-0.5454788208007812,-0.522247314453125,1.4695205688476562,0.01580890178752213
17,10,5,L10H5,1.2387847900390625,0.278106689453125,0.3011932373046875,0.9606781005859375,0.02403151257167363
18,10,5,L10H5,0.9242019653320312,-0.08154296875,-0.05587005615234375,1.0057449340820312,0.025526265882799166
19,10,5,L10H5,1.2661972045898438,0.3300018310546875,0.35968017578125,0.9361953735351562,0.03170101622537874
20,10,5,L10H5,0.8046112060546875,-0.3928375244140625,-0.37933349609375,1.19744873046875,0.011277333197410673
1,10,6,L10H6,1.0762939453125,-0.21822357177734375,-0.20613861083984375,1.2945175170898438,0.0093354943273906
2,10,6,L10H6,1.0695114135742188,-0.5381088256835938,-0.53204345703125,1.6076202392578125,0.00377288647171047
3,10,6,L10H6,1.0176162719726562,-0.01616668701171875,-0.0197601318359375,1.033782958984375,-0.0034760147601476015
4,10,6,L10H6,1.1721267700195312,-0.171600341796875,-0.16889190673828125,1.3437271118164062,0.002015613910574876
5,10,6,L10H6,0.8647003173828125,0.14643096923828125,0.1711883544921875,0.7182693481445312,0.03446810770619789
6,10,6,L10H6,1.33782958984375,0.42436981201171875,0.434295654296875,0.9134597778320312,0.010866206182295016
7,10,6,L10H6,0.7145462036132812,-0.17333984375,-0.16869354248046875,0.8878860473632812,0.00523299277348617
8,10,6,L10H6,0.9897918701171875,-0.269012451171875,-0.26433563232421875,1.2588043212890625,0.0037152866164830234
9,10,6,L10H6,0.9612808227539062,-0.08667755126953125,-0.06450653076171875,1.0479583740234375,0.02115639423986954
10,10,6,L10H6,1.1173248291015625,-0.10051727294921875,-0.08917236328125,1.2178421020507812,0.009315583398590446
11,10,6,L10H6,1.19085693359375,0.0048065185546875,0.0147705078125,1.1860504150390625,0.008400982902134339
