rank,layer,head,head_label,mean_recovery,median_recovery,max_recovery,min_recovery,mean_patched_ld,valid_pairs,total_pairs
16,7,1,L7H1,0.02787350825212656,0.023471225321371296,0.05745057396026522,0.010998736863813297,-0.033527374267578125,20,20
17,6,4,L6H4,0.02442255465467548,0.02159141087473307,0.06099414509073127,-0.03150165497825067,-0.034630203247070314,20,20
18,9,1,L9H1,0.021674782742134947,0.023577546968679704,0.04284115323753039,-0.0005333527279779871,-0.0411895751953125,20,20
19,10,5,L10H5,0.01631616969661228,0.014474104088301402,0.03700043823092192,0.0013333818199449676,-0.04568634033203125,20,20
20,8,3,L8H3,0.015159920323913315,0.013185997545100678,0.035432073167922226,0.003815186849635237,-0.04685783386230469,20,20
21,6,10,L6H10,0.013932349705950111,0.014437805501444497,0.03357582540570789,-0.016585756257832162,-0.04776611328125,20,20
22,11,8,L11H8,0.012511176820984302,0.012158909054816574,0.02188275188133201,0.005728143360194387,-0.049924468994140624,20,20
23,8,2,L8H2,0.01152835534955151,0.008815325234820606,0.051393316548802595,-0.014739929936846188,-0.051746368408203125,20,20
24,3,5,L3H5,0.011086173920491667,0.009574243344565319,0.0217984225102937,0.00010935429505075326,-0.051434326171875,20,20
25,11,3,L11H3,0.010165760799570683,0.010585313391559152,0.020566797492226924,-0.015611327406693468,-0.050623321533203126,20,20
26,2,1,L2H1,0.00893100203222556,0.008499295122778491,0.022465346008816188,-0.0034114111067429266,-0.05342864990234375,20,20
27,11,7,L11H7,0.00891680308776037,0.00478357823470366,0.028443920266748204,-0.0014095940959409595,-0.05363273620605469,20,20
28,11,10,L11H10,0.008569225639502558,0.008698013913373345,0.01604609278863001,0.0017526156460778586,-0.05375213623046875,20,20
29,4,6,L4H6,0.008324536361364297,0.0071728680382428574,0.01821894453035169,-0.001082774667680328,-0.05336341857910156,20,20
30,9,9,L9H9,0.00787784128975468,0.0068183241774266,0.017260608635615276,0.002257364970261119,-0.05451393127441406,20,20
31,10,6,L10H6,0.007698083280591854,0.008143260815357378,0.03446810770619789,-0.00951412824218936,-0.054816818237304686,20,20
32,7,8,L7H8,0.007524212767319615,0.009092126880542978,0.027291288853943413,-0.022496371552975326,-0.053884124755859374,20,20
33,4,9,L4H9,0.00724419011526793,0.006080152928965854,0.03472283869985923,-0.0052986845439675625,-0.055504226684570314,20,20
34,4,1,L4H1,0.006826078684738453,0.007003964899581263,0.022570244127130355,-0.007913470177621122,-0.054810714721679685,20,20
35,11,11,L11H11,0.0061363522390474445,0.007156708666680256,0.011461285046190707,-0.006916209866875489,-0.05592193603515625,20,20
36,10,0,L10H0,0.0058867534478197776,0.0020384405501584525,0.03829409280857322,-0.01490844410837193,-0.056549072265625,20,20
37,2,10,L2H10,0.004983589473777089,0.005884722269421591,0.01302785265049416,-0.008632602169665974,-0.057564163208007814,20,20
38,5,9,L5H9,0.004797600088557938,0.004271572927797824,0.012794726256041954,-0.004476684463495365,-0.057489776611328126,20,20
39,1,7,L1H7,0.004749996434390781,0.0011487363385586811,0.02384091233977668,-0.008227270925022798,-0.05857658386230469,20,20
40,8,0,L8H0,0.00466319854382913,0.005491449867533436,0.015876394635876083,-0.007061073098808948,-0.057275009155273435,20,20
41,6,2,L6H2,0.004365603135706461,0.002752591435565768,0.02000668247642797,-0.012339416382382408,-0.05753173828125,20,20
42,8,7,L8H7,0.0037483616315262245,0.004022547461626516,0.016185591979865417,-0.006493457234970605,-0.058599090576171874,20,20
43,5,2,L5H2,0.003585626066552332,0.0030272407992697208,0.009118232660773846,0.0007665010645848119,-0.05911407470703125,20,20
44,10,11,L10H11,0.003074094563806866,0.003887884438197142,0.011382232081166588,-0.009056772386296262,-0.059215545654296875,20,20
45,4,8,L4H8,0.0030607037382608436,0.0026959440027740523,0.017688318026301445,-0.014203193145415483,-0.058707046508789065,20,20
46,6,1,L6H1,0.00295915505917167,0.0033499583191481104,0.01431884242125828,-0.008165660220521722,-0.05943641662597656,20,20
47,11,6,L11H6,0.0024602247992381943,0.0013836838047665057,0.01193248625071117,-0.005171976870090077,-0.0599761962890625,20,20
48,0,6,L0H6,0.002350135738734856,0.0012046188756054213,0.018790006194507537,-0.006291307076090588,-0.060282135009765626,20,20
49,0,11,L0H11,0.002338129843784331,0.0019655085222914526,0.006455281641937216,-0.0024728171933524855,-0.06038475036621094,20,20
50,9,6,L9H6,0.0022188608976789663,0.0024419359015707175,0.009064996084573219,-0.003359329087183723,-0.060161590576171875,20,20
51,7,7,L7H7,0.0021924247532628975,0.0014270001727833465,0.011218858748671356,-0.003958940607538691,-0.06026763916015625,20,20
52,4,2,L4H2,0.0021752757008533497,0.003228713614401801,0.01675508723891483,-0.016921233902365978,-0.060133743286132815,20,20
53,1,4,L1H4,0.0021015765963006395,0.0011861354162400522,0.010121506979928122,-0.004550580536539652,-0.060784530639648435,20,20
54,5,0,L5H0,0.0018835167413288722,0.002075844300880973,0.008243616834684997,-0.010728824521578126,-0.0603363037109375,20,20
55,9,4,L9H4,0.00172864685595817,0.002038962877108047,0.004915129151291513,-0.005237594004032821,-0.06059532165527344,20,20
56,4,11,L4H11,0.0017074158279633375,0.002026947809061799,0.010394317369116453,-0.017186168129564357,-0.06059951782226562,20,20
57,6,0,L6H0,0.0016906311983757119,0.0016609099061148872,0.01040427122713535,-0.008433414074290135,-0.06056671142578125,20,20
58,1,6,L1H6,0.0016842603055198702,0.0014364599125930894,0.006022624674703914,-0.0028280471256642106,-0.060707473754882814,20,20
59,3,6,L3H6,0.0015803423404054026,0.0017492253868414912,0.01680341902020215,-0.003783544504673053,-0.061513519287109374,20,20
