pair_id,domain,layer,head,head_label,position,clean_token,corrupted_token,difference_norm,absolute_difference,signed_difference
6,movie,10,4,L10H4,8,"
","
",0.07886908203363419,0.007811152376234531,-0.0016311404760926962
6,movie,10,4,L10H4,9,Sent,Sent,0.021105166524648666,0.0021200974006205797,6.28991547273472e-05
6,movie,10,4,L10H4,10,iment,iment,0.43182870745658875,0.04137708619236946,-5.3594354540109634e-05
6,movie,10,4,L10H4,11,:,:,1.0036975145339966,0.09763098508119583,0.0035277302376925945
6,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
6,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
6,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
6,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
6,movie,8,9,L8H9,4, performance, performance,0.0,0.0,0.0
6,movie,8,9,L8H9,5, was, was,0.0,0.0,0.0
6,movie,8,9,L8H9,6, outstanding, terrible,0.19147823750972748,0.01882150210440159,0.0010497800540179014
6,movie,8,9,L8H9,7,.,.,0.17411695420742035,0.018057815730571747,0.002448895713314414
6,movie,8,9,L8H9,8,"
","
",0.18238474428653717,0.01835748367011547,-0.0004758029826916754
6,movie,8,9,L8H9,9,Sent,Sent,0.34120678901672363,0.033048950135707855,-0.0024809648748487234
6,movie,8,9,L8H9,10,iment,iment,0.5520291924476624,0.053502291440963745,-0.005488117691129446
6,movie,8,9,L8H9,11,:,:,0.6826053857803345,0.06984713673591614,-0.0007334512192755938
6,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
6,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
6,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
6,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
6,movie,9,2,L9H2,4, performance, performance,0.0,0.0,0.0
6,movie,9,2,L9H2,5, was, was,0.0,0.0,0.0
6,movie,9,2,L9H2,6, outstanding, terrible,0.06601212918758392,0.006865045987069607,-0.0012434101663529873
6,movie,9,2,L9H2,7,.,.,0.3813883066177368,0.03961366042494774,-0.003179109189659357
6,movie,9,2,L9H2,8,"
","
",0.07337656617164612,0.007712339982390404,-0.000874354736879468
6,movie,9,2,L9H2,9,Sent,Sent,0.6426125168800354,0.06790593266487122,-0.0021860511042177677
6,movie,9,2,L9H2,10,iment,iment,0.3557829260826111,0.03768831491470337,-0.0015400920528918505
6,movie,9,2,L9H2,11,:,:,0.9011569023132324,0.09469858556985855,-0.005045202560722828
7,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
7,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
7,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
7,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
7,movie,10,4,L10H4,4, director, director,0.0,0.0,0.0
7,movie,10,4,L10H4,5, was, was,0.0,0.0,0.0
7,movie,10,4,L10H4,6, talented, incompetent,0.24971763789653778,0.02395366132259369,0.0007671184139326215
7,movie,10,4,L10H4,7,.,.,0.90592360496521,0.0891176387667656,0.022237107157707214
7,movie,10,4,L10H4,8,"
","
",0.13783729076385498,0.013448618352413177,0.0007189951138570905
7,movie,10,4,L10H4,9,Sent,Sent,0.048991791903972626,0.004954312928020954,0.0008170949877239764
7,movie,10,4,L10H4,10,iment,iment,0.6162755489349365,0.06258191913366318,0.01111193560063839
7,movie,10,4,L10H4,11,:,:,1.1997851133346558,0.11774152517318726,0.02412809431552887
7,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
7,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
7,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
7,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
7,movie,8,9,L8H9,4, director, director,0.0,0.0,0.0
7,movie,8,9,L8H9,5, was, was,0.0,0.0,0.0
7,movie,8,9,L8H9,6, talented, incompetent,0.6863805651664734,0.0687023177742958,-0.0067468201741576195
7,movie,8,9,L8H9,7,.,.,0.9377921223640442,0.09679324924945831,-0.0033687883988022804
7,movie,8,9,L8H9,8,"
","
",0.4449961483478546,0.0447995699942112,0.0038054301403462887
7,movie,8,9,L8H9,9,Sent,Sent,0.43622955679893494,0.04482515528798103,0.00015372387133538723
7,movie,8,9,L8H9,10,iment,iment,0.5217636823654175,0.05307795852422714,-0.00561063177883625
7,movie,8,9,L8H9,11,:,:,0.6304325461387634,0.06300602108240128,-0.0046859011054039
7,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
7,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
7,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
7,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
7,movie,9,2,L9H2,4, director, director,0.0,0.0,0.0
7,movie,9,2,L9H2,5, was, was,0.0,0.0,0.0
7,movie,9,2,L9H2,6, talented, incompetent,0.13872985541820526,0.014299675822257996,-0.0018525675404816866
7,movie,9,2,L9H2,7,.,.,0.2915812134742737,0.030017320066690445,-0.0023907192517071962
7,movie,9,2,L9H2,8,"
","
",0.03934549167752266,0.004073674790561199,-0.0004551992751657963
7,movie,9,2,L9H2,9,Sent,Sent,0.40268614888191223,0.040076062083244324,-0.008083580061793327
7,movie,9,2,L9H2,10,iment,iment,0.2598594129085541,0.026150153949856758,-0.004003830254077911
7,movie,9,2,L9H2,11,:,:,0.5943977236747742,0.05874698609113693,-0.01030447706580162
9,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
9,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
9,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
9,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
9,movie,10,4,L10H4,4, characters, characters,0.0,0.0,0.0
9,movie,10,4,L10H4,5, were, were,0.0,0.0,0.0
9,movie,10,4,L10H4,6, engaging, boring,0.6814202666282654,0.06821571290493011,0.013184959068894386
9,movie,10,4,L10H4,7,.,.,0.6545599699020386,0.06233668327331543,0.009254987351596355
9,movie,10,4,L10H4,8,"
","
",0.10365967452526093,0.010436245240271091,-0.0013504170347005129
9,movie,10,4,L10H4,9,Sent,Sent,0.02097458764910698,0.00205748388543725,0.0004440119373612106
9,movie,10,4,L10H4,10,iment,iment,0.23095902800559998,0.022330814972519875,0.00320848124101758
9,movie,10,4,L10H4,11,:,:,0.7230799794197083,0.07359973341226578,0.0056259967386722565
9,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
9,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
9,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
9,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
9,movie,8,9,L8H9,4, characters, characters,0.0,0.0,0.0
9,movie,8,9,L8H9,5, were, were,0.0,0.0,0.0
9,movie,8,9,L8H9,6, engaging, boring,0.2142355740070343,0.0220310240983963,0.005428096279501915
9,movie,8,9,L8H9,7,.,.,0.5867131948471069,0.05828937515616417,0.010774992406368256
9,movie,8,9,L8H9,8,"
","
",0.341348260641098,0.03259743005037308,0.0056114187464118
9,movie,8,9,L8H9,9,Sent,Sent,0.3576508164405823,0.034464843571186066,0.005618650931864977
9,movie,8,9,L8H9,10,iment,iment,0.6226083636283875,0.06285953521728516,0.006408843211829662
9,movie,8,9,L8H9,11,:,:,1.0647597312927246,0.11081637442111969,0.006003896705806255
9,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
9,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
9,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
9,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
9,movie,9,2,L9H2,4, characters, characters,0.0,0.0,0.0
9,movie,9,2,L9H2,5, were, were,0.0,0.0,0.0
9,movie,9,2,L9H2,6, engaging, boring,0.08854371309280396,0.009176619350910187,-0.0022727870382368565
9,movie,9,2,L9H2,7,.,.,0.5727105736732483,0.0601624958217144,-0.0008467996958643198
9,movie,9,2,L9H2,8,"
","
",0.03499969094991684,0.0036445686127990484,-0.0006188369588926435
9,movie,9,2,L9H2,9,Sent,Sent,0.134141206741333,0.013928689062595367,-0.003125347662717104
9,movie,9,2,L9H2,10,iment,iment,0.12393508851528168,0.012490877881646156,-0.0026154471561312675
9,movie,9,2,L9H2,11,:,:,0.47663187980651855,0.049130767583847046,-0.011018194258213043
10,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
10,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
10,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
10,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
10,movie,10,4,L10H4,4, dialogue, dialogue,0.0,0.0,0.0
10,movie,10,4,L10H4,5, was, was,0.0,0.0,0.0
10,movie,10,4,L10H4,6, clever, stupid,0.5432475805282593,0.055698104202747345,0.007861458696424961
10,movie,10,4,L10H4,7,.,.,1.0102306604385376,0.10137695074081421,0.015317197889089584
10,movie,10,4,L10H4,8,"
","
",0.215029776096344,0.020855078473687172,-0.003433777019381523
10,movie,10,4,L10H4,9,Sent,Sent,0.03860405460000038,0.0038789305835962296,0.00026381868519820273
10,movie,10,4,L10H4,10,iment,iment,0.6159499883651733,0.06228893622756004,0.0037565960083156824
10,movie,10,4,L10H4,11,:,:,1.9324945211410522,0.2002357542514801,0.016060704365372658
10,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
10,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
10,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
10,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
10,movie,8,9,L8H9,4, dialogue, dialogue,0.0,0.0,0.0
10,movie,8,9,L8H9,5, was, was,0.0,0.0,0.0
10,movie,8,9,L8H9,6, clever, stupid,0.1510375589132309,0.015627099201083183,-0.001628206460736692
10,movie,8,9,L8H9,7,.,.,0.3676042854785919,0.036132823675870895,-0.0038598370738327503
10,movie,8,9,L8H9,8,"
","
",0.2759598195552826,0.02804226614534855,0.0010616914369165897
10,movie,8,9,L8H9,9,Sent,Sent,0.23050591349601746,0.021780122071504593,-0.0021376232616603374
10,movie,8,9,L8H9,10,iment,iment,0.3678719401359558,0.036620818078517914,-0.004580926150083542
10,movie,8,9,L8H9,11,:,:,0.7400579452514648,0.07394205778837204,-0.008337181061506271
10,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
10,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
10,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
10,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
10,movie,9,2,L9H2,4, dialogue, dialogue,0.0,0.0,0.0
10,movie,9,2,L9H2,5, was, was,0.0,0.0,0.0
10,movie,9,2,L9H2,6, clever, stupid,0.1141488254070282,0.012032217346131802,-0.00040829871431924403
10,movie,9,2,L9H2,7,.,.,0.24217630922794342,0.025823405012488365,-0.001797359436750412
10,movie,9,2,L9H2,8,"
","
",0.030125416815280914,0.0029610812198370695,1.3934666640125215e-05
10,movie,9,2,L9H2,9,Sent,Sent,0.22930386662483215,0.023280823603272438,-0.003101716050878167
10,movie,9,2,L9H2,10,iment,iment,0.27372118830680847,0.027731681242585182,-0.0025351494550704956
10,movie,9,2,L9H2,11,:,:,0.4932120740413666,0.04861855134367943,-0.0020196319092065096
11,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
11,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
11,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
11,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
11,movie,10,4,L10H4,4, screenplay, screenplay,0.0,0.0,0.0
11,movie,10,4,L10H4,5, was, was,0.0,0.0,0.0
11,movie,10,4,L10H4,6, impressive, disappointing,0.15015970170497894,0.014877011068165302,0.0013392185792326927
11,movie,10,4,L10H4,7,.,.,0.6649349331855774,0.06522607803344727,0.014575985260307789
11,movie,10,4,L10H4,8,"
","
",0.09744570404291153,0.009160327725112438,-0.0003297952935099602
11,movie,10,4,L10H4,9,Sent,Sent,0.0458366721868515,0.004634796641767025,-7.023403304629028e-05
11,movie,10,4,L10H4,10,iment,iment,0.7431116700172424,0.07310034334659576,-0.0027799801900982857
11,movie,10,4,L10H4,11,:,:,1.137886643409729,0.1127036064863205,0.0033687185496091843
11,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
