pair_id,domain,condition,n_heads,heads,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
38,restaurant,L10H4,1,L10H4,1.1116714477539062,0.00080108642578125,0.30332183837890625,1.110870361328125,0.2723276833054037
38,restaurant,L8H9,1,L8H9,1.1116714477539062,0.00080108642578125,0.10272216796875,1.110870361328125,0.09174885305348754
38,restaurant,L9H2,1,L9H2,1.1116714477539062,0.00080108642578125,0.20538330078125,1.110870361328125,0.18416389659624735
38,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.1116714477539062,0.00080108642578125,0.408660888671875,1.110870361328125,0.3671533749072828
38,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.1116714477539062,0.00080108642578125,0.5170822143554688,1.110870361328125,0.4647537155572649
38,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.1116714477539062,0.00080108642578125,0.31259918212890625,1.110870361328125,0.2806791022224664
38,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.1116714477539062,0.00080108642578125,0.62652587890625,1.110870361328125,0.5632743605944892
39,restaurant,L10H4,1,L10H4,1.2552947998046875,0.7666397094726562,0.8155288696289062,0.48865509033203125,0.10004840044341051
39,restaurant,L8H9,1,L8H9,1.2552947998046875,0.7666397094726562,0.9054412841796875,0.48865509033203125,0.2840481506346703
39,restaurant,L9H2,1,L9H2,1.2552947998046875,0.7666397094726562,0.8134307861328125,0.48865509033203125,0.0957548127215101
39,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.2552947998046875,0.7666397094726562,0.94989013671875,0.48865509033203125,0.3750097581539134
39,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.2552947998046875,0.7666397094726562,0.8611373901367188,0.48865509033203125,0.1933831909943949
39,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.2552947998046875,0.7666397094726562,0.9510726928710938,0.48865509033203125,0.3774297803244391
39,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.2552947998046875,0.7666397094726562,0.9940643310546875,0.48865509033203125,0.46540929600774406
40,restaurant,L10H4,1,L10H4,1.124298095703125,0.61083984375,0.7202682495117188,0.513458251953125,0.21312035661218426
40,restaurant,L8H9,1,L8H9,1.124298095703125,0.61083984375,0.7441864013671875,0.513458251953125,0.259702823179792
40,restaurant,L9H2,1,L9H2,1.124298095703125,0.61083984375,0.69891357421875,0.513458251953125,0.17153046062407132
40,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.124298095703125,0.61083984375,0.8489303588867188,0.513458251953125,0.46369985141158987
40,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.124298095703125,0.61083984375,0.8076934814453125,0.513458251953125,0.38338781575037145
40,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.124298095703125,0.61083984375,0.8305816650390625,0.513458251953125,0.427964338781575
40,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.124298095703125,0.61083984375,0.9345855712890625,0.513458251953125,0.630520059435364
43,software,L10H4,1,L10H4,1.1728744506835938,0.3544464111328125,0.48116302490234375,0.8184280395507812,0.1548292673832185
43,software,L8H9,1,L8H9,1.1728744506835938,0.3544464111328125,0.477447509765625,0.8184280395507812,0.15028944841665656
43,software,L9H2,1,L9H2,1.1728744506835938,0.3544464111328125,0.4426727294921875,0.8184280395507812,0.10779972593290017
43,software,L10H4 + L8H9,2,L10H4 + L8H9,1.1728744506835938,0.3544464111328125,0.6013031005859375,0.8184280395507812,0.3016229619755204
43,software,L10H4 + L9H2,2,L10H4 + L9H2,1.1728744506835938,0.3544464111328125,0.5679702758789062,0.8184280395507812,0.2608950994192388
43,software,L8H9 + L9H2,2,L8H9 + L9H2,1.1728744506835938,0.3544464111328125,0.5631484985351562,0.8184280395507812,0.25500358897392633
